,ProjectName,RepoId,RepoName,PullRequestId,CreationDate,publishedDate,feedbackTime
0,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,27339,2024-08-08 10:31:34,2024-08-08 10:31:41,0.0019444444444444444
1,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,27333,2024-08-08 09:36:29,2024-08-08 10:31:03,0.9094444444444445
2,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,27239,2024-08-07 12:35:31,2024-08-07 12:35:36,0.001388888888888889
3,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,27238,2024-08-07 12:33:44,2024-08-07 12:33:51,0.0019444444444444444
4,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,26701,2024-07-29 06:37:12,2024-07-29 06:37:17,0.001388888888888889
5,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,26576,2024-07-25 09:08:05,2024-07-29 05:29:21,92.35444444444444
6,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,26421,2024-07-22 14:05:52,2024-07-22 14:05:58,0.0016666666666666668
7,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,26392,2024-07-22 09:46:08,2024-07-22 14:02:42,4.276111111111111
8,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,25769,2024-07-04 10:26:19,2024-07-04 10:26:24,0.001388888888888889
9,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,25741,2024-07-03 16:52:38,2024-07-04 09:16:42,16.40111111111111
10,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,25586,2024-06-27 11:06:31,2024-06-27 11:06:53,0.006111111111111111
11,Medad BAB,0e903ebb-f7fe-427b-a7f6-03d42d4f7920,medad_eservices,25570,2024-06-26 14:55:32,2024-06-26 15:51:57,0.9402777777777778
